CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A009;A010;A010_05;A011;A011_07;A012;A012_01;A012_02;A012_03;A012_04;A012_05;A012_06;A012_07;A012_08;A012_09;A012_09a;A014;B003;B003_01;B003_02;B003_03;B003_04;B003_05;B003_06;B003_07;B003_07a;B004;B005_01;B006;B007_01;B008;B008_01;B008_02;B008_03;B008_04;B008_05;B008_06;B008_06a;B009;B009_01;B010;B015;B015_01;B015_02;B015_03;B015_04;B015_05;B015_06;B015_07;B015_08;B011;B011_03;B012;B013;B013_01;B016_CN;B016x01;B016x11;B016x12;B016x13;B016x02;B016x21;B016x22;C001;C001_01;C001_02;C001_03;C001_04;C001_05;C001_06;C001_07;C001_08;C001_08a;C001_09;C002;C002_01;C002_02;C002_03;C002_04;C002_05;C002_06;C002_07;C002_08;C002_08a;C002_09;C003;C003_01;C003_02;C003_03;C003_04;C003_05;C003_06;C003_07;C003_08;C003_09;C003_09a;C003_10;C004;C004_01;C004_02;C004_03;C004_04;C004_05;C004_05a;C004_06;C005;C005_01;C006;C006_01;C006_02;C006_03;C006_04;C006_05;C006_06;C006_07;C006_08;C006_08a;C006_09;C007_01;D008;D002;D001_01;D003;D004_01;D005_01;D006_01;D007;;;;;;;;;;;;;;;;;;;;;;;;
734;;;base;interview;25.07.2019 17:18;840;1;;7;Habilitand;2;2;1;1;1;1;1;1;1;2;Biological Chemistry;4;3;2;1;2;1;1;1;2;Biological data (e.g., assays for determination of biological activity);1;e.g., Thin-layer chromatography (Rf values, chromatograms);2;e.g., anaysis & assignment of MS analysis data & NMR data (transcription of mass peaks, shifts, integrals, coupling constants, assignments);3;2;2;2;1;1;1;;1;In my group: each group member has to archive raw data for each experiment & transfer the data to me at the end of their projects;2;;;;;;;;;;;;;1;"a personal hybrid of electronic & printed lab notebook as there is no ELN suitable for all our data (chemical & biological data) and affordable (free of charge; no software available at department) currently available; synthetic & biological procedures as well as observations are typed into a Word template & are complemented by analyzed data (e.g., NMR spectra); a printed copy is pasted into a hardcover lab notebook & complemented by data that is difficult to digitalize (e.g., TLC chromatograms)";;;;;;;;;1;1;1;1;2;1;1;1;1;;1;3;2;2;2;1;1;1;1;1;;1;3;1;1;2;2;1;1;2;1;1;;1;1;1;1;1;2;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;comparison of data (e.g., stacking NMR spectra or HPLC traces);1;2;I would definitely appreciat a central platform for archiving data & data backup. However, there is currently no hardware/server at the institute available that would allow archiving data from all work groups on a central platform.;2;;see answer to Q. 26;A fully electronic notebook is missing, including possibilities that directly link the raw/analyzed data with lab notebook entries. Many ELNs are very specific for a discipline (e.g., synthetic chemistry, molecular biology). Given the increasing interdisciplinarity, a good ELN should allow entries from different experimental setups (e.g., synthetic chemistry & microbiology). Also, a central platform for data backup, which also allows storage of large files and multiple data (large storage space) and that is serviced, should be provided at the department or university.;2;;;;;;;;;;;;;;;;;;;;;;;;
736;;;base;interview;25.07.2019 21:20;276;1;;3;;2;1;2;1;1;1;2;1;1;1;;2;3;2;1;2;1;2;1;1;;1;"notes on scientific articles

project ideas

lab journal
";2;"melting point determination
balance handling";4;2;2;2;2;1;1;;1;every 6 month;2;;;;;;;;;;;;;1;ensochem;;;;;;;;;4;2;2;2;1;1;2;1;1;;1;3;1;2;1;2;2;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;publication;1;1;;2;;;better eln (ensochem sucks) ;2;;;;;;;;;;;;;;;;;;;;;;;;
737;;;base;interview;25.07.2019 23:29;276;1;;1;;3;1;2;2;1;1;1;2;1;1;;5;4;2;1;2;2;2;1;1;;1;Manual data collection from certain instruments;3;;4;2;2;2;2;1;1;;3;;3;;;;;;;;;;;;;3;;;;;;;;;;2;1;2;1;2;1;1;1;1;;1;5;2;2;2;2;2;1;1;1;;1;4;1;1;2;2;2;1;2;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;1;1;;2;;1;1;;2;;have not thought about that yet;sorting;2;;;;;;;;;;;;;;;;;;;;;;;;
740;;;base;interview;26.07.2019 07:38;276;1;;1;;1;1;1;1;1;2;1;1;1;1;;6;1;1;2;1;1;1;1;1;;2;;1;;4;2;2;2;1;2;1;;1;Everything is dumped on a disk/RAID when the project is finished;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;1;1;2;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;4;1;2;1;2;2;1;2;1;1;;1;1;2;1;1;1;1;;1;1;Not an appropriate question, but I am forced to answer ...;4;2;2;2;2;1;1;1;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
741;;;base;interview;26.07.2019 08:38;276;1;;3;;1;1;1;1;1;1;1;1;2;1;;2;1;1;1;2;1;1;1;1;;2;;1;;1;1;1;1;2;1;1;;2;;1;6;2;2;2;2;2;2;1;1;1;;2;2;;1;1;1;1;1;2;2;1;3;2;2;2;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;2;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;for info about experimental setup and analysis of data;1;1;;2;;easy PC software for data management;;2;;;;;;;;;;;;;;;;;;;;;;;;
742;;;base;interview;26.07.2019 09:10;276;1;;3;;3;2;2;1;1;1;1;2;1;1;;1;3;2;1;2;1;2;1;1;;2;;1;;1;1;1;1;2;1;1;;1;sorted by employee and measurement type;2;;;;;;;;;;;;;2;;;;;;;;;;1;1;1;2;1;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;4;1;2;1;2;2;1;2;1;1;;1;1;1;1;1;2;1;;1;2;;3;2;1;2;2;1;1;1;1;;1;reproduction of experiments and comparison with own data;1;1;;2;;;redundance in central workgroup data storage;2;;;;;;;;;;;;;;;;;;;;;;;;
751;;;base;interview;26.07.2019 12:24;276;1;;1;;1;1;1;1;1;1;1;1;1;2;electrochemistry;8;3;1;2;2;1;1;2;1;;2;;1;;1;1;1;1;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;2;1;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;2;1;1;1;2;2;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;2;2;2;1;1;1;1;1;1;;1;comparison to simulations;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
752;;;base;interview;26.07.2019 14:35;-9;-9;;;;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
755;;;base;interview;26.07.2019 15:29;276;1;;3;;1;1;1;2;1;1;1;1;1;1;;3;1;2;1;1;1;1;1;1;;3;;3;;3;1;2;2;2;1;1;;3;;1;3;1;1;2;1;2;2;1;1;1;;3;2;;1;2;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;;1;1;2;1;1;1;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;For the reference study ;1;1;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
757;;;base;interview;26.07.2019 15:54;276;1;;1;;1;1;1;1;1;1;1;1;1;2;Analytical Chemistry;8;1;1;1;1;1;1;1;2;Experimental data of Samples;2;;1;;3;2;2;2;1;1;1;;1;Everything has to be stored in the intranet of our group;1;3;2;1;2;1;2;1;1;1;3;both of above;1;2;;2;2;1;2;2;1;1;1;1;1;2;1;1;1;1;1;1;;1;2;1;2;1;1;1;1;1;2;and with colleagues in the same project;1;1;1;1;2;1;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;2;1;1;1;1;1;1;;1;for correlation with own data;1;1;;3;;workshop / conference for agreeing how the own community would like to handle this in the future;"Fundamental research required concerning the meta-data definition for ""open-loop"" experiments";1;;;;;;;;;;;;;;;;;;;;;;;;
759;;;base;interview;26.07.2019 16:17;578;2;;3;;1;1;1;1;1;1;1;2;1;1;;4;6;2;2;2;2;2;2;1;;2;;1;;1;1;1;1;2;1;1;;3;;1;5;1;1;2;2;2;2;2;1;1;;3;3;;1;1;1;1;1;2;2;1;3;1;2;1;2;1;2;1;1;;1;2;1;2;1;2;1;1;1;1;;1;4;1;2;2;2;1;1;2;1;1;;1;2;2;2;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;3;;2;;Electronic Lab books,etc;Cloud service;2;;;;;;;;;;;;;;;;;;;;;;;;
760;;;base;interview;26.07.2019 16:20;276;1;;3;;1;1;1;1;1;1;1;2;1;1;;9;6;2;1;2;2;2;2;2;electrochemical cycling and rate capability ;1;data will be saved automatically and analysized after the program done;2;like XRD and XPS...;4;2;2;2;2;1;1;;2;;1;4;1;2;2;1;2;2;1;1;1;;5;2;;1;1;1;1;1;2;2;1;3;2;1;1;2;1;2;1;1;;1;2;1;1;2;2;1;1;1;1;;1;3;2;1;1;2;1;1;2;1;1;;1;1;1;2;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
761;;;base;interview;26.07.2019 16:42;276;1;;3;;1;2;1;1;1;1;1;1;1;1;;3;6;2;2;2;2;2;2;1;;1;"electrochemical data
";1;;3;2;1;2;2;1;1;;2;;1;4;2;1;2;1;2;2;1;1;1;;3;2;;1;2;1;1;2;1;1;1;4;2;1;1;2;2;2;1;1;;1;3;1;1;2;2;2;1;1;1;;1;3;1;1;2;2;2;1;1;1;1;;1;1;1;1;2;1;1;;1;1;ICSD ET AL;4;2;2;2;2;1;1;1;1;;1;MAKE PRESENTATION, WRITING REPORT, TEACHING;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
764;;;base;interview;26.07.2019 17:53;356;1;;4;;1;1;1;1;1;1;1;2;1;1;;4;4;2;1;1;2;2;2;1;;2;;1;;2;2;1;2;1;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;1;1;2;2;1;1;1;;1;4;1;1;2;2;2;2;1;1;;1;1;1;1;1;1;2;1;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
767;;;base;interview;26.07.2019 21:33;276;1;;8;;1;1;2;1;1;1;1;1;1;1;;6;3;2;1;2;1;2;1;1;;1;;2;Xx;5;2;2;2;2;2;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;1;1;2;1;1;1;1;1;1;;1;1;2;1;1;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;Xx;1;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
771;;;base;interview;27.07.2019 12:04;276;1;;1;;1;1;2;1;1;1;1;1;1;1;;8;1;2;1;1;1;1;1;1;;2;;1;;1;2;1;1;1;1;1;;1;ELN;1;6;2;2;2;2;2;2;1;1;2;;2;1;Chemotion ELN;1;2;2;1;1;1;1;1;6;2;2;2;2;2;1;2;1;;1;1;2;1;1;1;1;1;1;1;;1;2;2;1;1;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;1;Chemotion;1;2;1;1;1;1;1;1;1;;1;Statistical evaluation;1;1;;1;Chemotion;;;1;;;;;;;;;;;;;;;;;;;;;;;;
772;;;base;interview;27.07.2019 14:34;276;1;;1;;3;1;1;2;1;1;1;2;1;2;Polymer;6;2;2;1;2;1;1;1;1;;2;;2;"Thinking about the data and trying different ways to analyse, e.g. 
developing equations to describt the data";3;2;2;2;1;1;1;;1;CD of raw data and CD of all data that enters publication;2;;;;;;;;;;;;;2;;;;;;;;;;4;2;2;2;1;2;1;1;1;;1;4;1;2;1;2;2;2;1;1;;1;3;1;1;1;2;2;1;2;1;1;;1;2;2;1;2;1;1;;1;2;;2;1;1;1;1;2;1;2;1;;1;;1;1;;2;;I actually think we do not need more sevice but rather spent more time thinking, we are scientists and not doing business;we are doing unique science and we should look for a balance. I actually want to educate people doing a revolution not libraians;2;;;;;;;;;;;;;;;;;;;;;;;;
776;;;base;interview;28.07.2019 14:28;276;1;;3;;2;2;2;1;1;1;1;1;1;1;;4;4;2;1;2;1;2;2;1;;2;;1;;4;2;2;2;2;1;1;;1;digital and all data of your PhD is saved ;3;;;;;;;;;;;;;1;ELN of our own working group;;;;;;;;;5;2;2;1;2;2;1;2;1;;1;3;2;1;1;2;2;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;3;2;1;2;1;1;1;1;2;only as comparison!;1;comparison with own data to check;1;2;not enough check ups, people do not care enough, accidentally some data were deleted by our analytics team..;2;;scanning machinery or newer systems which deliver data digitally. Also the files need to be read out without expensive software so you can open it on your own computer and not only on the computer of the machinery;more digital versions of mass spectra, software is old so we only get print outs and have to scan them. But also new mass systems do not provide enough digital storing;2;;;;;;;;;;;;;;;;;;;;;;;;
777;;;base;interview;28.07.2019 14:51;276;1;;4;;6;2;2;2;1;1;1;2;2;2;Nuclear Chemistry;4;5;2;1;2;2;2;1;2;Radiolabelling data;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
778;;;base;interview;28.07.2019 16:11;276;1;;3;;4;1;1;2;1;1;2;1;2;2;bioinformatic;3;4;2;2;2;1;1;1;2;ai;2;;1;;4;2;2;2;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;1;2;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;2;1;1;1;1;1;2;2;1;1;;1;1;2;1;1;1;1;;1;1;bwlink;2;2;1;1;1;1;2;1;1;;1;datascience and analyses;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
779;;;base;interview;28.07.2019 18:16;276;1;;1;;1;1;1;1;1;1;1;1;1;2;Analytical Chemistry;8;1;1;1;2;1;1;1;1;;1;;1;;1;1;1;1;2;1;1;;1;Archived permanently;1;1;1;1;1;1;1;1;1;2;1;;2;2;;1;2;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;1;1;;2;2;;1;1;1;1;2;1;1;1;1;;1;New consideration;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
780;;;base;interview;28.07.2019 20:36;276;2;;7;Head of working group;2;1;2;1;1;1;1;1;1;2;Analytical Chemistry;8;1;1;1;1;1;1;1;2;chromatographic data, mass spectrometric data;2;;1;;4;2;2;2;2;1;1;;2;;1;3;2;1;2;1;2;1;1;1;1;;2;2;;1;1;1;1;1;2;2;1;1;1;2;1;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;3;;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
785;;;base;interview;29.07.2019 07:21;276;1;;2;;3;1;1;2;2;1;1;2;1;1;;4;3;2;1;1;2;2;1;1;;1;"Synthesis protocols
Observations
Parameters";2;"detailed Parameter settings

modified synthesis parameters, Analysis parameters";3;2;2;2;1;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;4;2;1;2;1;2;2;1;1;;1;1;1;1;2;1;1;1;1;1;;1;1;1;1;1;1;2;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;2;1;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
799;;;base;interview;29.07.2019 08:28;276;1;;3;;2;2;1;1;1;1;1;2;1;1;;2;3;1;1;2;2;2;1;1;;2;;1;;1;1;1;1;2;1;1;;2;;1;2;1;1;2;1;2;1;1;1;1;;1;3;;1;1;1;1;1;2;2;1;4;2;2;1;2;1;2;1;1;;1;3;1;2;1;2;2;1;1;1;;1;4;1;2;2;2;2;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;To reproduce an experiment and modify it for my synthetic purpose;1;2;The leader of the working group is not strict enough in demanding the data storage. Finished PhDs leave without archiving their data properly;1;SciDesk, BSCW;A more reliable IT infrastructure. Maybe some ideas or concrete guidelines for data management;A few central rules on how to archive research data. The server infrastructure is awful unreliable;1;;;;;;;;;;;;;;;;;;;;;;;;
802;;;base;interview;29.07.2019 09:06;276;1;;3;;1;2;1;1;1;1;1;1;1;1;;1;3;2;1;2;1;2;1;1;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
808;;;base;interview;29.07.2019 10:18;276;2;;8;;1;1;2;1;1;1;1;1;1;1;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
810;;;base;interview;29.07.2019 10:50;156;1;;5;;2;1;2;2;1;1;1;1;1;1;;2;4;2;1;2;2;1;2;1;;1;pH;2;When I used UV to detect the concentration of reactants, I put every data in Origin, and manually found the highest absorption wavelength;4;2;2;2;2;1;1;;2;;1;2;1;1;2;1;2;1;1;1;1;;1;2;;1;1;1;1;1;2;2;1;2;2;1;1;1;2;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;3;;2;;Trusted raw data could be shared;Being digital;2;;;;;;;;;;;;;;;;;;;;;;;;
811;;;base;interview;29.07.2019 11:53;276;1;;3;;1;2;1;1;1;1;1;1;1;1;;3;4;2;1;2;1;2;2;1;;2;;2;Assignment of peaks in mass spectra.;1;1;1;1;2;1;1;;3;;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;2;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;;2;1;1;1;1;1;1;1;1;1;1;;2;1;1;1;1;2;1;;1;2;;3;2;1;2;1;2;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
817;;;base;interview;29.07.2019 15:26;276;1;;1;;3;1;1;2;1;2;2;1;1;1;;8;1;1;2;1;1;1;1;1;;2;;1;;4;2;2;2;1;2;1;;1;Group-internal strategy;1;5;2;1;2;2;1;2;2;1;3;Both manually and by versioning;3;2;;1;2;1;2;1;1;1;1;3;2;2;1;1;1;1;1;2;Tape drives;1;2;1;2;1;2;1;1;1;1;;1;3;1;1;2;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;4;2;2;2;2;1;1;1;1;;1;Reproduction, extension own work, basis for current projects;1;1;;2;;Hardware, sustainable software/services;Nation-wide/international standardization, definition of extensible RDM appropriate to face questions not even asked yet;2;;;;;;;;;;;;;;;;;;;;;;;;
835;;;base;interview;29.07.2019 20:48;840;1;;7;research Director;2;1;2;1;1;1;2;1;1;1;;8;3;2;1;2;1;1;2;1;;1;"optical rotation melting points YIELD 
amounts of materials weighed - balance is read and data written into notebook, same for volumes ";2;yield - conversion - purity;2;1;2;1;1;2;1;;1;data retention for 5 - 7 years - this isn't driven by science;1;4;2;2;2;1;2;1;1;1;2;;3;1;PE;1;1;1;1;1;2;2;1;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;2;1;1;1;1;;1;1;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;1;1;;2;2;;1;1;1;1;1;1;1;1;1;;2;;1;2;there is no incentive for the scientists ;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
836;;;base;interview;29.07.2019 21:20;276;2;;1;;1;2;1;1;1;1;1;1;1;1;;8;2;2;1;1;1;2;1;1;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
837;;;base;interview;29.07.2019 21:27;276;1;;1;;1;2;1;1;1;1;1;1;1;1;;5;4;2;2;2;1;2;1;1;;2;;2;Reaction yields calculation;2;1;2;2;1;1;1;;1;All aprocessed data have to be archived on the group server;2;;;;;;;;;;;;;2;;;;;;;;;;3;1;2;1;2;2;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;1;1;1;1;1;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;Affordable storage sytem, coaching ;Introduction of a lab book which manages data;2;;;;;;;;;;;;;;;;;;;;;;;;
840;;;base;interview;30.07.2019 00:32;276;1;;4;;1;1;1;2;1;1;1;1;1;1;;3;1;1;1;2;1;1;1;1;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
841;;;base;interview;30.07.2019 08:57;-9;-9;;;;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
843;;;base;interview;30.07.2019 09:52;276;1;;3;;1;1;2;1;1;1;1;1;1;1;;9;5;2;2;2;1;2;2;1;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
844;;;base;interview;30.07.2019 10:10;276;1;;1;;2;1;2;1;1;1;1;2;1;1;;6;4;2;1;2;2;1;1;2;Chromatograms (HPLC, SEC, GC, GC-MS, ...);1;Yields, purity, ...;2;weight determination;1;2;1;1;1;1;1;;3;;1;3;2;2;1;1;2;1;1;1;1;;2;2;;1;2;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;3;1;1;1;2;2;1;1;1;2;shared only in case of collaborations;1;1;2;1;1;1;1;;1;2;;2;1;1;1;1;1;2;2;1;;1;;1;1;;1;;"none! Let scientist do science and not focus in digitalization, gender equality and all other kind of ""required"" things!";everything works well, I do not support the necessity to fulfill all kinds of new rules - it seriously keeps resources from reserach and education, which are anyhow scarce;2;;;;;;;;;;;;;;;;;;;;;;;;
845;;;base;interview;30.07.2019 10:10;276;2;;2;;1;1;1;1;1;1;1;1;2;1;;4;3;2;1;2;2;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
846;;;base;interview;30.07.2019 10:26;276;1;;1;;1;1;1;2;1;1;1;1;1;1;;8;4;1;2;2;2;1;2;1;;2;;2;decide upon further analysis steps, necessary program improvement and theoretical calculations (on paper);4;2;2;2;2;1;1;;3;;2;;;;;;;;;;;;;2;;;;;;;;;;1;1;2;1;1;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;1;;1;1;1;1;1;1;2;we always publish original (raw) data;1;2;;1;1;1;1;1;1;1;1;2;they do not exist;1;we did not reuse data;1;1;;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
851;;;base;interview;30.07.2019 10:42;276;1;;2;;2;1;2;1;1;1;1;2;1;1;;4;4;2;1;2;2;1;1;2;chromatograms;2;;1;;2;1;2;2;1;1;1;;2;;1;3;2;2;1;2;1;1;1;1;1;;1;2;;1;2;1;2;1;1;1;1;2;1;2;1;1;1;2;1;1;;1;4;1;2;2;2;2;1;1;1;;1;4;1;2;2;2;1;1;2;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;2;1;1;1;;1;;1;2;data storage is not readily made available for free;1;no names come to mind;I don't know what this means;institutional-based cloud storage with tunable accessibility permission granted by owner-line manager-institute manager;2;;;;;;;;;;;;;;;;;;;;;;;;
852;;;base;interview;30.07.2019 11:13;276;1;;4;;1;2;1;1;1;1;1;1;1;1;;9;3;2;1;2;1;2;1;1;;1;Weight measurements, weighting the empty glassware first and later on with the chemicals. Titrations.;1;;3;2;2;2;1;1;1;;1;the data should be available for all group members;1;6;2;2;2;2;2;2;1;1;3;both;2;2;;2;2;1;2;2;1;1;1;3;2;2;1;1;1;1;1;2;e-lab journals (word) are printed;1;1;1;2;1;1;1;1;1;1;;1;2;1;1;2;2;1;1;1;1;1;;1;1;1;1;1;2;1;;1;1;SDBS-NMR-spectra datasbase e.g.;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;endnote, ;a straightforward organization sorftware for e-labbooks etc.;Software for organization;2;;;;;;;;;;;;;;;;;;;;;;;;
858;;;base;interview;30.07.2019 12:55;724;2;;2;;1;2;1;1;1;1;1;1;1;1;;4;6;2;2;2;2;2;2;1;;2;;1;;3;1;2;2;1;2;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;2;2;1;1;2;1;1;1;1;;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;1;Spectral Database for Organic Compounds SDBS;1;1;1;1;1;2;1;1;1;;1;;1;1;;2;;An all in one solution would be nice, like Wikipedia - search a molecule and openly add all the data you have for it;Transmition to following researchers, digitalization ;2;;;;;;;;;;;;;;;;;;;;;;;;
860;;;base;interview;30.07.2019 17:37;276;1;;8;;1;1;2;1;1;1;1;1;1;1;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
864;;;base;interview;30.07.2019 22:46;276;1;;1;;1;1;1;2;1;1;1;1;1;1;;8;3;2;1;2;2;1;1;1;;1;weighting of samples etc.;2;calculation with a calcuator;4;2;2;2;1;1;2;Spectroscopic simulation;1;all processed data and if not too large also all raw data on a dvd;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;1;1;2;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;3;1;2;2;1;1;1;1;1;2;server in Germany;1;1;2;1;1;1;1;;1;1;specific characterization data collections;3;2;1;2;1;2;1;1;1;;1;comparison of spectroscopy data;1;3;;3;;Storage capacitiy, easy to connect to the various instruments;Too big data, apart of open data there are sensitive data that should stay with the German taxpayer;2;;;;;;;;;;;;;;;;;;;;;;;;
